hospital_name,hospital_system,region,mrf_url,hospital_engine_status,procedure_name,code_type,procedure_code,care_setting,is_primary,scan_priority,scan_status
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Gallbladder removal,CPT,47562,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Gallbladder removal,CPT,47563,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hernia repair,CPT,49505,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hernia repair,CPT,49650,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hysterectomy,CPT,58571,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hysterectomy,CPT,58150,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Cataract surgery,CPT,66984,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Upper endoscopy,CPT,43235,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Upper endoscopy,CPT,43239,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Screening mammogram,CPT,77067,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Chest X-ray,CPT,71046,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Chest X-ray,CPT,71045,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Abdominal ultrasound,CPT,76700,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Abdominal ultrasound,CPT,76705,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Echocardiogram,CPT,93306,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,EKG,CPT,93000,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,EKG,CPT,93005,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Physical therapy evaluation,CPT,97161,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Physical therapy evaluation,CPT,97162,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Complete blood count,CPT,85025,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Complete blood count,CPT,85027,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Basic metabolic panel,CPT,80048,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Lipid panel,CPT,80061,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Hemoglobin A1c,CPT,83036,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,COVID test,CPT,87635,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,COVID test,CPT,87426,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Sleep study,CPT,95810,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Sleep study,CPT,95811,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Tonsillectomy,CPT,42826,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Tonsillectomy,CPT,42825,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Mastectomy,CPT,19303,outpatient,true,1,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Mastectomy,CPT,19301,outpatient,false,2,queued
Cedars-Sinai Medical Center,Cedars-Sinai,Los Angeles,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,source_known_needs_indexing,Prostate biopsy,CPT,55700,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47562,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47563,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Hernia repair,CPT,49505,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Hernia repair,CPT,49650,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Hysterectomy,CPT,58571,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Hysterectomy,CPT,58150,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Cataract surgery,CPT,66984,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Upper endoscopy,CPT,43235,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Upper endoscopy,CPT,43239,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Screening mammogram,CPT,77067,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Chest X-ray,CPT,71046,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Chest X-ray,CPT,71045,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Abdominal ultrasound,CPT,76700,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Abdominal ultrasound,CPT,76705,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Echocardiogram,CPT,93306,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,EKG,CPT,93000,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,EKG,CPT,93005,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Physical therapy evaluation,CPT,97161,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Physical therapy evaluation,CPT,97162,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Complete blood count,CPT,85025,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Complete blood count,CPT,85027,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Basic metabolic panel,CPT,80048,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Lipid panel,CPT,80061,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Hemoglobin A1c,CPT,83036,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,COVID test,CPT,87635,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,COVID test,CPT,87426,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Sleep study,CPT,95810,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Sleep study,CPT,95811,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Tonsillectomy,CPT,42826,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Tonsillectomy,CPT,42825,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Mastectomy,CPT,19303,outpatient,true,1,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Mastectomy,CPT,19301,outpatient,false,2,queued
Ronald Reagan UCLA Medical Center,UCLA Health,Los Angeles,https://www.uclahealth.org/sites/default/files/cms-hpt/956006143_ronald-reagan-ucla-medical-center_standardcharges.json,search_ready,Prostate biopsy,CPT,55700,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Gallbladder removal,CPT,47562,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Gallbladder removal,CPT,47563,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Hernia repair,CPT,49505,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Hernia repair,CPT,49650,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Hysterectomy,CPT,58571,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Hysterectomy,CPT,58150,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Cataract surgery,CPT,66984,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Upper endoscopy,CPT,43235,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Upper endoscopy,CPT,43239,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Screening mammogram,CPT,77067,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Chest X-ray,CPT,71046,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Chest X-ray,CPT,71045,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Abdominal ultrasound,CPT,76700,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Abdominal ultrasound,CPT,76705,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Echocardiogram,CPT,93306,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,EKG,CPT,93000,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,EKG,CPT,93005,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Physical therapy evaluation,CPT,97161,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Physical therapy evaluation,CPT,97162,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Complete blood count,CPT,85025,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Complete blood count,CPT,85027,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Basic metabolic panel,CPT,80048,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Lipid panel,CPT,80061,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Hemoglobin A1c,CPT,83036,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,COVID test,CPT,87635,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,COVID test,CPT,87426,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Sleep study,CPT,95810,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Sleep study,CPT,95811,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Tonsillectomy,CPT,42826,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Tonsillectomy,CPT,42825,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Mastectomy,CPT,19303,outpatient,true,1,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Mastectomy,CPT,19301,outpatient,false,2,queued
Keck Hospital of USC,Keck Medicine of USC,Los Angeles,https://hospitalpricedisclosure.com/download.aspx?pi=5fSixiuBb0ZpZwZgOthF7A*-*,search_ready,Prostate biopsy,CPT,55700,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47562,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Gallbladder removal,CPT,47563,outpatient,false,2,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Hernia repair,CPT,49505,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Hernia repair,CPT,49650,outpatient,false,2,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Hysterectomy,CPT,58571,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Hysterectomy,CPT,58150,outpatient,false,2,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Cataract surgery,CPT,66984,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Upper endoscopy,CPT,43235,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Upper endoscopy,CPT,43239,outpatient,false,2,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Screening mammogram,CPT,77067,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Chest X-ray,CPT,71046,outpatient,true,1,queued
Providence Cedars-Sinai Tarzana Medical Center,Providence Southern California,Los Angeles,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,search_ready,Chest X-ray,CPT,71045,outpatient,false,2,queued
